ID,Genus,Substrate,Sub,BlockNum,DateMeasured,DatePlanted,DateHarvested,NumStems_Initial,Height_cm_Initial,Diameter_mm_Initial,NumStems,Height_cm,Diameter_mm,Condition,Notes_PreHarvest,DateWetWeighed,AGWetmass_g,BGWetmass_g,DateAGDryWeighed,AGDrymass_g,DateBGDryWeighed,BGDrymass_g,Totmass,Notes_Biomass,Dead,Exclude
36,Zizaniopsis,Dredge,D,4,4/12/2022,11/18/2021,4/20/2022,5,,,10,163.9,,5,most of green in strong offshoots,4/20/2022,90.3,191.6,5/1/2022,21.4,4/27/2022,18.52,39.92,,N,N
37,Zizaniopsis,Mix,M,5,4/12/2022,10/22/2021,4/20/2022,9,,,21,123.6,,5,,4/20/2022,114.4,389.99,5/1/2022,31.81,4/28/2022,34.89,66.7,,N,N
38,Sporobolus,Mix,M,5,4/12/2022,10/22/2021,4/20/2022,12,74,,21,185.1,,4,,4/20/2022,316.6,353.7,5/1/2022,103.19,4/27/2022,36.09,139.28,,N,N
39,Sporobolus,Fine,F,5,4/12/2022,10/22/2021,4/20/2022,8,63,,7,85,,4,,4/20/2022,54.4,92.1,5/1/2022,15.34,4/27/2022,7.76,23.1,,N,N
40,Sporobolus,Dredge,D,5,4/12/2022,10/22/2021,4/20/2022,11,58.3,,12,173.6,,4,,4/20/2022,256,294.3,5/1/2022,82.5,4/28/2022,34.81,117.31,,N,N
41,Zizaniopsis,Fine,F,5,4/12/2022,11/18/2021,4/20/2022,12,,,12,87.3,,5,,4/20/2022,33.3,132.6,5/1/2022,8.47,4/27/2022,18.74,27.21,,N,N
42,Zizaniopsis,Coarse,C,5,4/12/2022,11/18/2021,4/20/2022,9,,,22,150,,4,,4/20/2022,59.8,201.3,5/1/2022,14.74,4/27/2022,22.11,36.85,,N,N
43,Zizaniopsis,Mix,M,3,4/12/2022,10/22/2021,4/20/2022,8,,,19,131.9,,5,,4/20/2022,137.4,488.7,5/1/2022,35.77,4/28/2022,34.97,70.74,,N,N
44,Zizaniopsis,Coarse,C,3,4/12/2022,11/18/2021,4/20/2022,5,,,11,96,,4,"smaller plant, all green in offshoots",4/20/2022,25.5,92.9,4/23/2022,5.93,4/27/2022,8.06,13.99,,N,N
45,Salix,Mix,M,3,4/12/2022,10/22/2021,4/20/2022,,,6.75,3,118.5,13.88,5,,4/20/2022,88.1,259.8,5/1/2022,29.54,4/27/2022,16.91,46.45,,N,N
46,Sporobolus,Dredge,D,3,4/12/2022,10/22/2021,4/20/2022,15,70.6,,24,177.1,,4,,4/20/2022,240.6,450.5,5/1/2022,77.02,4/28/2022,44.04,121.06,,N,N
47,Sporobolus,Coarse,C,3,4/12/2022,10/22/2022,4/20/2022,13,50.1,na,15,84.2,,4,dead shoot was a bit taller but not measured bc it was dead,4/20/2022,125.5,220.5,5/1/2022,35.84,4/27/2022,21.57,57.41,"Roots in 2 bags, weighed on 2 dates, drymass = 21.40f on 4/27/22 + 0.17g on 6/14/22",N,N
48,Zizaniopsis,Dredge,D,3,4/12/2022,11/18/2021,4/20/2022,4,n.a,,10,114.8,,5,,4/20/2022,47,113.7,4/23/2022,11.11,4/27/2022,9.61,20.72,,N,N
49,Zizaniopsis,Fine,F,4,4/12/2022,11/18/2021,4/20/2022,7,,,14,91,,5,smaller plant,4/20/2022,45.2,99.6,5/1/2022,11.58,4/27/2022,10.77,22.35,"weight recorded as 10.768, but the scale normally only gave up to two decimal places, and would fluctuate widely when it gave three",N,N
50,Salix,Dredge,D,4,4/12/2022,10/22/2021,,,,4.85,0,0,7.35,1,no green,,,,,,,,,Basically dead. Aphids. No roots.,Y,Y
51,Zizaniopsis,Mix,M,4,4/12/2022,11/18/2021,4/20/2022,7,,,11,102.8,,5,,4/20/2022,39.3,144.3,5/1/2022,9.54,4/28/2022,16.57,26.11,,N,N
52,Salix,Mix,M,4,4/12/2022,10/22/2021,,,,4.66,2,103.4,6.11,5,,,,,,,,,,Donated,N,N
53,Sporobolus,Coarse,C,4,4/12/2022,10/22/2021,4/20/2022,16,55.4,,10,90,0,3,,4/20/2022,29.1,278.1,5/1/2022,37.56,4/28/2022,21.65,59.21,,N,N
54,Salix,Coarse,C,4,4/12/2022,10/22/2021,4/20/2022,,,5.83,5,88.7,7.94,5,,4/20/2022,69.4,187.6,5/1/2022,23.59,4/27/2022,13.75,37.34,,N,N
55,Salix,Coarse,C,5,4/12/2022,10/22/2021,,,,6.12,6,62.4,6.03,5,,,,,,,,,,Donated,N,N
56,Zizaniopsis,Dredge,D,5,4/12/2022,10/22/2021,4/20/2022,8,,,20,149.4,,5,curly offshoot,4/20/2022,147.1,263.4,5/1/2022,31.97,4/27/2022,25.37,57.34,,N,N
57,Sporobolus,Coarse,C,5,4/12/2022,10/22/2021,4/20/2022,14,72.4,,15,97.5,0,3,tiny bit of rust,4/20/2022,120.6,221.7,4/23/2022,34.4,4/28/2022,18.47,52.87,,N,N
58,Salix,Mix,M,5,4/12/2022,10/22/2021,4/20/2022,,,5.08,4,129.2,9.62,5,,4/20/2022,81,218.9,5/1/2022,25.61,4/28/2022,12.62,38.23,,N,N
59,Salix,Fine,F,5,4/12/2022,10/22/2021,4/20/2022,,,5.66,2,70.5,7.13,5,,4/20/2022,49.1,113.6,5/1/2022,16.12,4/28/2022,8.5,24.62,Shoots weighed on 4/26/22 as 16.43g,N,N
60,Salix,Dredge,D,5,4/12/2022,10/22/2021,4/20/2022,,,4.52,1,87.4,4.94,5,"no white out mark, measured from 12 cm from ground",4/20/2022,46.4,154.4,5/1/2022,15.38,4/28/2022,16.39,31.77,,N,N
61,Sporobolus,Coarse,C,6,4/12/2022,10/22/2021,4/13/2022,14,68.5,,12,138.4,,4,,4/13/2022,93.25,232.75,4/23/2022,30.71,4/27/2022,10.98,41.69,,N,N
62,Salix,Dredge,D,6,4/12/2022,10/22/2021,4/13/2022,,,4.83,3,104.1,9,5,,4/13/2022,64.46,143.92,4/23/2022,21.82,5/4/2022,14.94,36.76,,N,N
63,Salix,Mix,M,6,4/12/2022,10/22/2021,4/13/2022,,,3.38,2,110.9,3.62,5,,4/13/2022,43.35,82.84,4/23/2022,14.09,5/4/2022,5.46,19.55,,N,N
64,Salix,Fine,F,6,4/12/2022,11/18/2021,4/13/2022,,,3.21,1,25.5,4.91,5,,4/13/2022,2.8,4.23,4/23/2022,0.69,5/4/2022,0.68,1.37,wet plant was small,N,N
65,Sporobolus,Fine,F,6,4/12/2022,10/22/2021,4/13/2022,16,78,,12,117.7,,4,,4/13/2022,132.25,213.95,4/23/2022,43.25,4/27/2022,22.77,66.02,,N,N
66,Zizaniopsis,Fine,F,6,4/12/2022,11/18/2021,4/13/2022,4,,,8,99.2,,5,smaller plant,4/13/2022,18.37,38.29,4/23/2022,4.38,4/27/2022,2.95,7.33,,N,N
67,Salix,Coarse,C,7,4/12/2022,10/22/2021,4/13/2022,,,5.83,4,122.4,5.6,5,,4/13/2022,69.87,189.54,4/23/2022,23.34,4/27/2022,14.84,38.18,Shoots reweighed 4/26 as 23.16g,N,N
68,Zizaniopsis,Mix,M,7,4/12/2022,10/22/2021,4/13/2022,6,,,15,131.2,,5,,4/13/2022,116.83,398.9,4/23/2022,30.36,4/27/2022,35.8,66.16,,N,N
